,price,ret_asset,score,zscore,pos,lev,turnover,fees,ret_strategy,equity_strategy,ret_buyhold,equity_buyhold,ret_voltarget,equity_voltarget
2023-06-13,420.2005310058594,0.006593052315072567,3.055200648762593,1.823644801916223,0.0,1.0646496854821612,0.0,0.0,0.0,2.504982762712924,0.006593052315072567,4.019655516843682,0.007019291073609444,3.111253168630431
2023-06-14,420.7008972167969,0.001190779577883383,4.267570141564219,2.5228501982667093,0.0,1.1039751453856688,0.0,0.0,0.0,2.504982762712924,0.001190779577883383,4.024442040543265,0.001314591057616093,3.115343194223892
2023-06-15,425.9165954589844,0.012397639930631588,4.517959740585319,2.592704985412283,0.0,1.155635405247046,0.0,0.0,0.0,2.504982762712924,0.012397639930631588,4.074335623883617,0.014327151645342396,3.1599771885948233
2023-06-16,424.46588134765625,-0.0034060990503663735,5.907406609037658,3.3171903584599733,0.0,1.106119506180689,0.0,0.0,-0.0,2.504982762712924,-0.0034060990503663735,4.060458033184234,-0.003767552599593767,3.148071808323276
2023-06-20,422.2636413574219,-0.005188261499940561,8.051385728930496,4.359746010607848,0.0,1.101409706182553,0.0,0.0,-0.0,2.504982762712924,-0.005188261499940561,4.039391315098539,-0.005714401574247785,3.130082461825949
2023-06-21,420.1000671386719,-0.005123752099032042,7.20620308410486,3.595387241003705,0.0,1.0797446577449195,0.0,0.0,-0.0,2.504982762712924,-0.005123752099032042,4.018694475368991,-0.005532343956539164,3.112765769034797
2023-06-22,421.61651611328125,0.003609732759477957,6.518873925673645,3.0557010608466895,0.0,1.0745098223063478,0.0,0.0,0.0,2.504982762712924,0.003609732759477957,4.033200888467063,0.0038786933059600623,3.124839232786174
2023-06-23,418.4291076660156,-0.007559970554875561,7.295754831758815,3.3014327583761585,0.0,1.1254623600178106,0.0,0.0,-0.0,2.504982762712924,-0.007559970554875561,4.0027100085083545,-0.008508462302355406,3.0982516559730917
2023-06-26,416.71954345703125,-0.004085672286328945,5.923185807825991,2.506196527418012,0.0,1.0811191276960561,0.0,0.0,-0.0,2.504982762712924,-0.004085672286328945,3.9863562471563805,-0.0044170984582479,3.084566373360229
2023-06-27,421.2881164550781,0.010963183920165598,8.123183722070106,3.4300152272730036,0.0,1.1078697718691426,0.0,0.0,0.0,2.504982762712924,0.010963183920165598,4.030059403865257,0.012145780068593313,3.122030838138041
2023-06-28,421.5006408691406,0.0005044633488615613,6.766003882545512,2.666024534554974,0.0,1.0476321083920221,0.0,0.0,0.0,2.504982762712924,0.0005044633488615613,4.032092421128242,0.0005284920017743377,3.1236808064652895
2023-06-29,423.1619567871094,0.003941431535057882,7.302208326727996,2.8061683409863716,0.0,1.1003610940346937,0.0,0.0,0.0,2.504982762712924,0.003941431535057882,4.047984637349145,0.004336997915979133,3.1372282036131134
2023-06-30,428.155517578125,0.011800590083592688,6.636372132187148,2.4268705267865505,0.0,1.148952040683784,0.0,0.0,0.0,2.504982762712924,0.011800590083592688,4.095753244719183,0.013558312057816645,3.1797637225942834
2023-07-03,428.6481628417969,0.0011506222469315208,6.805356811909139,2.4239679096453584,0.0,1.0851168186481182,0.0,0.0,0.0,2.504982762712924,0.0011506222469315208,4.100465909520499,0.0012485595520560814,3.18373384696341
2023-07-05,428.0106506347656,-0.0014872621937879194,6.970262026416215,2.4181045936266496,0.0,1.1383085638605168,0.0,0.0,-0.0,2.504982762712924,-0.0014872621937879194,4.0943674415963525,-0.0016929632918947681,3.1783439024293383
2023-07-06,424.6590881347656,-0.00783055864387816,6.776017952913229,2.2704333838308437,0.0,1.1759898363790338,0.0,0.0,-0.0,2.504982762712924,-0.00783055864387816,4.062306257235347,-0.009208657378370707,3.1490756224012326
2023-07-07,423.5869445800781,-0.0025247159065797664,5.9669012591784565,1.8959290695437814,0.0,1.1107734471190556,0.0,0.0,-0.0,2.504982762712924,-0.0025247159065797664,4.052050088010307,-0.0028043873905479184,3.1402443944338887
2023-07-10,424.6590881347656,0.0025311062307418197,-0.9466720795224184,-0.7965463134426753,0.0,1.151101442649595,0.0,0.0,0.0,2.504982762712924,0.0025311062307418197,4.062306257235348,0.0029135600337062873,3.149393684997581
2023-07-11,427.3634948730469,0.006368418370980455,-0.7333781931971615,-0.7274135044457875,1.0,1.2059621799125806,1.0,0.0002,0.007480071701262915,2.523720213388444,0.006368418370980455,4.088176723032475,0.007680071701262915,3.173581254313867
2023-07-12,430.802001953125,0.008045860541035621,-0.8979926600617141,-0.8046246134499736,1.0,1.223061030446061,0.0,0.0,0.009840578484144328,2.5485550802203147,0.008045860541035621,4.121069622813102,0.009840578484144328,3.204811129722752
2023-07-13,434.2212829589844,0.007937012804855481,-0.8894808426580454,-0.8140134989955594,1.0,1.2186709480332432,0.0,0.0,0.00967260691944522,2.573206251723841,0.007937012804855481,4.15377860517907,0.00967260691944522,3.2358100080316237
2023-07-14,433.9508056640625,-0.0006229019754138143,-1.2382228812695146,-0.964869442934843,1.0,1.227909824231799,0.0,0.0,-0.0007648674551440171,2.5712380900065246,-0.0006229019754138143,4.151191208280473,-0.0007648674551440171,3.233335042265451
2023-07-17,435.4575500488281,0.003472154827457663,-1.169628864225885,-0.9491320870331197,1.0,1.2729219182904934,0.0,0.0,0.004419781983569005,2.582602401792202,0.003472154827457663,4.165604786874003,0.004419781983569005,3.247625678232098
2023-07-18,438.69329833984375,0.007430685931735015,-1.166075762564077,-0.9595518436520208,1.0,1.3358350868961162,0.0,0.0,0.009926170987316992,2.608237754824647,0.007430685931735015,4.196558087760996,0.009926170987316992,3.2798621660170313
2023-07-19,439.6688232421875,0.0022237059604863774,-0.6195839613222773,-0.7505937204213058,1.0,1.352893167024327,0.0,0.0,0.003008436599413288,2.6160844727462327,0.0022237059604863774,4.2058899989942775,0.003008436599413288,3.2897294233983074
2023-07-20,436.7518615722656,-0.006634451923181017,-0.46796628612057134,-0.7016190559147626,1.0,1.421188327134352,0.0,0.0,-0.009428805630158915,2.5914179207406316,-0.006634451923181017,4.177986224001762,-0.009428805630158915,3.25871120408927
2023-07-21,436.7518615722656,0.0,-0.3839321366624162,-0.6799532769103178,1.0,1.300741351803551,0.0,0.0,0.0,2.5914179207406316,0.0,4.177986224001762,0.0,3.25871120408927
2023-07-24,438.7029724121094,0.004467321175964711,0.3227314111457176,-0.39995677025308485,1.0,1.3597904376242929,0.0,0.0,0.006074620616873325,2.6071598014688977,0.004467321175964711,4.196650630333134,0.006074620616873325,3.2785066383540666
2023-07-25,439.900634765625,0.0027300073827414284,-0.13846616866331374,-0.6051294307162,1.0,1.412986241284387,0.0,0.0,0.0038574628704184377,2.6172168236003115,0.0027300073827414284,4.20810751753673,0.0038574628704184377,3.2911533559819377
2023-07-26,439.9682312011719,0.00015366296432572923,0.5980445838982078,-0.3072396303447795,1.0,1.4842077403230876,0.0,0.0,0.0002280677610532378,2.617813726381461,0.00015366296432572923,4.208754147812076,0.0002280677610532378,3.2919039619591195
2023-07-27,437.05126953125,-0.006629937034222211,0.38587985219369614,-0.4092989631745694,1.0,1.549145844858309,0.0,0.0,-0.01027073940823756,2.59092684377849,-0.006629937034222211,4.1808503728195605,-0.01027073940823756,3.258093674208893
2023-07-28,441.3302001953125,0.009790454718623165,0.05893296911415291,-0.5607281735075959,1.0,1.424598692195525,0.0,0.0,0.013947468988150066,2.6270637155826555,0.009790454718623165,4.221782799079989,0.013947468988150066,3.3035358346904093
2023-07-31,442.17041015625,0.0019038125207966328,-0.4966068458216242,-0.8108497190037252,1.0,1.3294261418062505,0.0,0.0,0.0025309781342450995,2.633712756404064,0.0019038125207966328,4.229820282032962,0.0025309781342450995,3.3118970116537056
2023-08-01,440.9051513671875,-0.002861473223898847,-0.925960020173541,-1.0050527167492003,1.0,1.3976447459298502,0.0,0.0,-0.003999323017001174,2.6231796883572076,-0.002861473223898847,4.21771676455402,-0.003999323017001174,3.2986516657050617
2023-08-02,434.77178955078125,-0.013910841815722774,-1.1670237837239483,-1.1152098657218685,1.0,1.4149400872266487,0.0,0.0,-0.019683007732134893,2.5715476222684934,-0.013910841815722774,4.1590447738187875,-0.019683007732134893,3.2337242794633694
2023-08-03,433.52581787109375,-0.0028658061760973297,-0.5952425169282805,-0.8702925917356622,1.0,1.0994721655805488,0.0,0.0,-0.0031508741225678427,2.5634449994105366,-0.0028658061760973297,4.147125757619312,-0.0031508741225678427,3.223535221311689
2023-08-04,431.5650939941406,-0.004522738430162265,-0.6116367379589605,-0.8823504666400096,1.0,1.145942904579786,0.0,0.0,-0.005182800013314768,2.55015917663346,-0.004522738430162265,4.128369392580612,-0.005182800013314768,3.2068282829237544
2023-08-07,435.33197021484375,0.008728408004087251,-0.44220211364045525,-0.8133767511396178,1.0,1.1804212953079212,0.0,0.0,0.0103031986821607,2.57643397330145,0.008728408004087251,4.1644034850306415,0.0103031986821607,3.23986887186229
2023-08-08,433.4389343261719,-0.004348488092288827,-4.099879941621772,-2.4166789831491684,1.0,1.1252905520076137,0.0,0.0,-0.00489331256577023,2.5638266765650166,-0.004348488092288827,4.1462946260645,-0.00489331256577023,3.2240151808001585
2023-08-09,430.54119873046875,-0.0066854529351590974,-4.027292764992168,-2.335742951312381,1.0,1.156533309431749,0.0,0.0,-0.00773194900814975,2.5440032994360817,-0.0066854529351590974,4.118574768486643,-0.00773194900814975,3.1990872598207107
2023-08-10,430.6957702636719,0.00035901682268479895,-3.935481442548401,-2.250543794482297,1.0,1.1602325938877602,0.0,0.0,0.00041654301943292636,2.5450629862518763,0.00035901682268479895,4.120053406114015,0.00041654301943292636,3.200419817287346
2023-08-11,430.4446716308594,-0.0005830069625684109,-3.690751048441001,-2.103542802143184,1.0,1.2177325761938012,0.0,0.0,-0.000709946570467354,2.5432561275131635,-0.0005830069625684109,4.1176513862920965,-0.000709946570467354,3.1981476902140074
2023-08-14,432.8207092285156,0.005519960529779544,-3.860471326859134,-2.1294254561207158,1.0,1.2801899644588552,0.0,0.0,0.007066598074432758,2.5612282963666373,0.005519960529779544,4.1403806594198205,0.007066598074432758,3.220747714523425
2023-08-15,427.7789001464844,-0.011648724228140672,-3.619011654232061,-1.9835329091547516,1.0,1.2766314678828308,0.0,0.0,-0.014871127910333522,2.5231399427638035,-0.011648724228140672,4.092150506918712,-0.014871127910333522,3.172851563293833
2023-08-16,424.6397705078125,-0.007338205875972226,-3.5668507270287506,-1.9218856639257027,1.0,1.1422919458694456,0.0,0.0,-0.008382373469254913,2.5019900414483627,-0.007338205875972226,4.062121464023478,-0.008382373469254913,3.1462555365277947
2023-08-17,421.40399169921875,-0.007620055947006987,-3.2867449147123793,-1.7741403269271983,1.0,1.1524131228148466,0.0,0.0,-0.008781452469914165,2.4800189348191854,-0.007620055947006987,4.031167871204081,-0.008781452469914165,3.1186268430755715
2023-08-18,421.6068420410156,0.0004813678697701551,-3.184054582289022,-1.7026312239186174,1.0,1.166319744893328,0.0,0.0,0.000561428851070172,2.4814112890003934,0.0004813678697701551,4.033108345894929,0.000561428851070172,3.120377730160996
2023-08-21,424.3499755859375,0.006506378149942371,-2.771636086175178,-1.5152712125685737,1.0,1.2146091606699652,0.0,0.0,0.007902706503702905,2.5010211541323386,0.006506378149942371,4.05934927391301,0.007902706503702905,3.145037159543149
2023-08-22,423.2005310058594,-0.0027087183839022977,-2.216783041394777,-1.28202410984745,1.0,1.1701650210065475,0.0,0.0,-0.0031696475045998535,2.493093798672192,-0.0027087183839022977,4.048353639908081,-0.0031696475045998535,3.1350685003585297
2023-08-23,427.9140319824219,0.011137748256977664,-2.433840443795475,-1.348992603438515,1.0,1.2271318222253673,0.0,0.0,0.01366748531407241,2.527168121552149,0.011137748256977664,4.093443183604596,0.01366748531407241,3.1779170030457906
2023-08-24,421.9835510253906,-0.013859047644585898,-2.441174545251968,-1.3350425596869038,1.0,1.0844319236174342,0.0,0.0,-0.015029193696723956,2.4891868223491556,-0.013859047644585898,4.036711959492615,-0.015029193696723956,3.130155472854903
2023-08-25,424.95849609375,0.0070499076590317955,-2.3307501984262586,-1.276951302877706,1.0,0.9688911284239798,0.0,0.0,0.006830592987044175,2.5061894444013366,0.0070499076590317955,4.065170406053147,0.006830592987044175,3.1515362908761437
2023-08-28,427.65325927734375,0.0063412385170886765,-2.0360842536681645,-1.1520310522757804,1.0,0.9622522271094608,0.0,0.0,0.0061018708857008734,2.52148188880618,0.0063412385170886765,4.09094862121054,0.0061018708857008734,3.1707665584146705
2023-08-29,433.8349304199219,0.014454867368540736,-2.0819499846490004,-1.1556975377434486,1.0,0.9732883813274551,0.0,0.0,0.014068754463430063,2.55695599838378,0.014454867368540736,4.150082740941653,0.014068754463430063,3.215375294585862
2023-08-30,435.621826171875,0.004118837895840999,-2.1048718136235536,-1.1508712285995835,1.0,0.8812191975244544,0.0,0.0,0.0036295990253063172,2.566236723383265,0.004118837895840999,4.167176259005919,0.0036295990253063172,3.2270458176210846
2023-08-31,434.98431396484375,-0.0014634533182911191,-1.9483952943011928,-1.079405508629946,1.0,0.9216629344307706,0.0,0.0,-0.0013488106797386414,2.562775355884028,-0.0014634533182911191,4.161077791081773,-0.0013488106797386414,3.222693143758271
2023-09-01,435.7956237792969,0.0018651472901587418,-1.9724246662834162,-1.0754198152823262,1.0,0.9621647842313864,0.0,0.0,0.001794579039995341,2.567374458821914,0.0018651472901587418,4.168838814047949,0.001794579039995341,3.2284765213263964
2023-09-05,433.91217041015625,-0.00432187306702847,-2.1659177892821475,-1.132542026385059,1.0,1.0112999707603518,0.0,0.0,-0.004370710106315844,2.556153209328044,-0.00432187306702847,4.150821621856732,-0.004370710106315844,3.2143657863666317
2023-09-06,430.9952087402344,-0.00672247028048234,-1.9537750014625885,-1.041326487179667,1.0,1.0335008005863908,0.0,0.0,-0.0069476784167967175,2.5383938788455698,-0.00672247028048234,4.122917846864216,-0.0069476784167967175,3.192033406569003
2023-09-07,429.6719665527344,-0.0030702016186391345,-3.4948895655448453,-1.5809774934798049,1.0,1.0326769519864576,0.0,0.0,-0.0031705264495201497,2.53034583391339,-0.0030702016186391345,4.110259657817258,-0.0031705264495201497,3.181912980225724
2023-09-08,430.319091796875,0.0015060913778772722,-3.010126226035773,-1.3817120661929676,1.0,1.075508109520632,0.0,0.0,0.001619813490586109,2.534444522231011,0.0015060913778772722,4.116450084448733,0.001619813490586109,3.1870670857969645
2023-09-11,433.1491394042969,0.006576625721170126,-2.3076607411463144,-1.1133549574664454,1.0,1.1274188049663068,0.0,0.0,0.0074146115112722994,2.553236443760226,0.006576625721170126,4.143522435954031,0.0074146115112722994,3.210697950098512
2023-09-12,430.7730712890625,-0.005485565822668237,-1.8984869615642879,-0.9555418940986682,1.0,1.1315342793121055,0.0,0.0,-0.0062071057697720205,2.5373882350985695,-0.005485565822668237,4.120792870893903,-0.0062071057697720205,3.1907688083274603
2023-09-13,431.27532958984375,0.001165946374684701,-2.849136760202356,-1.2765385603357091,1.0,1.1429760397680766,0.0,0.0,0.0013326487699190654,2.5407696824088806,0.001165946374684701,4.125597494402548,0.0013326487699190654,3.195020982454974
2023-09-14,434.9939270019531,0.008622328143939706,-2.587399568786445,-1.166276834730271,1.0,1.1998308527752053,0.0,0.0,0.01034533532985083,2.567054796769319,0.008622328143939706,4.161169749789102,0.01034533532985083,3.22807454590438
2023-09-15,429.7530517578125,-0.012048157270290072,-2.211780518057182,-1.0208999275259711,1.0,1.1601845218560836,0.0,0.0,-0.013978085581878383,2.531172285126706,-0.012048157270290072,4.111035322215269,-0.013978085581878383,3.182952243637045
